id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,1,twr,rangingSuccessRate6
70,1,twr,rangingPerSec6
71,1,twr,rangingSuccessRate7
72,1,twr,rangingPerSec7
73,2,oa,front
74,2,oa,back
75,2,oa,up
76,2,oa,left
77,2,oa,right
78,7,usd,spiWrBps
79,7,usd,spiReBps
80,7,usd,fatWrBps
81,2,rpm,m1
82,2,rpm,m2
83,2,rpm,m3
84,2,rpm,m4
85,2,motor,m1
86,2,motor,m2
87,2,motor,m3
88,2,motor,m4
89,6,motor,m1req
90,6,motor,m2req
91,6,motor,m3req
92,6,motor,m4req
93,7,pm,vbat
94,2,pm,vbatMV
95,7,pm,extVbat
96,2,pm,extVbatMV
97,7,pm,extCurr
98,7,pm,chargeCurrent
99,4,pm,state
100,1,pm,batteryLevel
101,1,radio,rssi
102,1,radio,isConnected
103,2,radio,numRxBc
104,2,radio,numRxUc
105,5,gyro,xRaw
106,5,gyro,yRaw
107,5,gyro,zRaw
108,7,gyro,xVariance
109,7,gyro,yVariance
110,7,gyro,zVariance
111,7,gyro,x
112,7,gyro,y
113,7,gyro,z
114,3,colAv,latency
115,7,ext_pos,X
116,7,ext_pos,Y
117,7,ext_pos,Z
118,7,locSrv,x
119,7,locSrv,y
120,7,locSrv,z
121,7,locSrv,qx
122,7,locSrv,qy
123,7,locSrv,qz
124,7,locSrv,qw
125,2,locSrvZ,tick
126,2,crtp,rxRate
127,2,crtp,txRate
128,7,extrx,thrust
129,7,extrx,roll
130,7,extrx,pitch
131,7,extrx,rollRate
132,7,extrx,pitchRate
133,7,extrx,yawRate
134,7,extrx,zVel
135,1,extrx,AltHold
136,1,extrx,Arm
137,2,extrx_raw,ch0
138,2,extrx_raw,ch1
139,2,extrx_raw,ch2
140,2,extrx_raw,ch3
141,2,extrx_raw,ch4
142,2,extrx_raw,ch5
143,2,extrx_raw,ch6
144,2,extrx_raw,ch7
145,7,health,motorVarXM1
146,7,health,motorVarYM1
147,7,health,motorVarXM2
148,7,health,motorVarYM2
149,7,health,motorVarXM3
150,7,health,motorVarYM3
151,7,health,motorVarXM4
152,7,health,motorVarYM4
153,1,health,motorPass
154,7,health,batterySag
155,1,health,batteryPass
156,2,health,motorTestCount
157,3,memTst,errCntW
158,2,range,front
159,2,range,back
160,2,range,up
161,2,range,left
162,2,range,right
163,2,range,zrange
164,7,sensfusion6,qw
165,7,sensfusion6,qx
166,7,sensfusion6,qy
167,7,sensfusion6,qz
168,7,sensfusion6,gravityX
169,7,sensfusion6,gravityY
170,7,sensfusion6,gravityZ
171,7,sensfusion6,accZbase
172,1,sensfusion6,isInit
173,1,sensfusion6,isCalibrated
174,7,acc,x
175,7,acc,y
176,7,acc,z
177,7,baro,asl
178,7,baro,temp
179,7,baro,pressure
180,5,controller,ctr_yaw
181,7,controller,cmd_thrust
182,7,controller,cmd_roll
183,7,controller,cmd_pitch
184,7,controller,cmd_yaw
185,7,controller,r_roll
186,7,controller,r_pitch
187,7,controller,r_yaw
188,7,controller,accelz
189,7,controller,actuatorThrust
190,7,controller,roll
191,7,controller,pitch
192,7,controller,yaw
193,7,controller,rollRate
194,7,controller,pitchRate
195,7,controller,yawRate
196,7,ctrltarget,x
197,7,ctrltarget,y
198,7,ctrltarget,z
199,7,ctrltarget,vx
200,7,ctrltarget,vy
201,7,ctrltarget,vz
202,7,ctrltarget,ax
203,7,ctrltarget,ay
204,7,ctrltarget,az
205,7,ctrltarget,roll
206,7,ctrltarget,pitch
207,7,ctrltarget,yaw
208,5,ctrltargetZ,x
209,5,ctrltargetZ,y
